id,value
ChefServer.ChefServer-Name.InitialDomainControllers.GlobalServers-Area.GlobalServers-Region.SophosServer.GlobalServers-Worldwide.Cluster-C71,
ChefServer.ChefServer-PrivateIp.InitialDomainControllers,
CoreNetwork-compliance.CoreNetwork-AvailabilityZone1.InitialDomainControllers.GlobalServers-Area.F5-compliance.GlobalServers-Region.SophosServer.GlobalServers-Worldwide.Cluster-C71,
CoreNetwork-compliance.CoreNetwork-AvailabilityZone2.InitialDomainControllers.GlobalServers-Area.F5-compliance.GlobalServers-Region.GlobalServers-Worldwide.Cluster-C71,
CoreNetwork-compliance.CoreNetwork-Az1CoreSubnet.ChefServer.InitialDomainControllers.GlobalServers-Area.F5-compliance.GlobalServers-Region.SophosServer.GlobalServers-Worldwide.Cluster-C71.PA-compliance,
CoreNetwork-compliance.CoreNetwork-Az1LambdaSubnet,
CoreNetwork-compliance.CoreNetwork-Az1ManagementSubnet.F5-compliance.PA-compliance,
CoreNetwork-compliance.CoreNetwork-Az1NATGWSubnet,
CoreNetwork-compliance.CoreNetwork-Az1UntrustSubnet.PA-compliance,
CoreNetwork-compliance.CoreNetwork-Az1VIPSubnet.F5-compliance.PA-compliance,
CoreNetwork-compliance.CoreNetwork-Az2CoreSubnet.InitialDomainControllers.GlobalServers-Area.F5-compliance.GlobalServers-Region.GlobalServers-Worldwide.Cluster-C71.PA-compliance,
CoreNetwork-compliance.CoreNetwork-Az2LambdaSubnet,
CoreNetwork-compliance.CoreNetwork-Az2ManagementSubnet.F5-compliance.PA-compliance,
CoreNetwork-compliance.CoreNetwork-Az2NATGWSubnet,
CoreNetwork-compliance.CoreNetwork-Az2UntrustSubnet.PA-compliance,
CoreNetwork-compliance.CoreNetwork-Az2VIPSubnet.F5-compliance.PA-compliance,
CoreNetwork-compliance.CoreNetwork-InternalServerSecurityGroup.ChefServer.InitialDomainControllers.GlobalServers-Area.F5-compliance.GlobalServers-Region.SophosServer.GlobalServers-Worldwide.Cluster-C71,
CoreNetwork-compliance.CoreNetwork-S3Endpoint,
CoreNetwork-compliance.CoreNetwork-VPCaddressPrefix.F5-compliance.PA-compliance,
CoreNetwork-compliance.CoreNetwork-Vpc.DhcpOptionSet.PA-compliance,
DMZNetwork-compliance.DMZNetwork-3rdPartyDMZDefaultRoute,
DMZNetwork-compliance.DMZNetwork-AttachGateway,
DMZNetwork-compliance.DMZNetwork-AttachVGWGateway,
DMZNetwork-compliance.DMZNetwork-Az13rdPartyDMZRouteTable,
DMZNetwork-compliance.DMZNetwork-Az13rdPartyDMZSubnet,
